Run_mgm,Sample_name,Run,colSums.data.genomesize.,NGs,AGS,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),ENA_last_update,environment_(biome),environment_(material),geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,Sample_name2,Sequencing_method,soil_environmental_package,SRA Study,Submitter_Id,latitude,longitude,biome,delta15N,N_conc_g_kg,P_conc_mg_kg,pH,gene_count,gc_count,gc_percent,shannon,simp,richness,pielous,AGS_mgm,Total_base_mgm,NGs_mgm,AGS2_mgm,Run2_mgm,GC_percent_mgm,shannon_ko,simp_ko,richness_ko,pielous_ko,Biome,Biome2
ERR1877650,S165,ERR1873297,168920.6946,30000,5.630689821,AMPLICON,491,94433539,PRJEB19856,SAMEA103892539,61617849,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2015,public,"fastq,sra,run.zq","gs,ncbi,s3,ena","ncbi.public,gs.US,s3.us-east-1,ena",2018/5/31,2018/5/31,2018/11/16,2017/3/6,Tropical_montane_forests,soil,Mexico,North America,Mexico,22.1989,-102.60055,EMBL,European Molecular Biology Laboratory,2018-05-31T17:02:46Z,2017-03-06T16:33:19Z,public,Illumina MiSeq,metagenome,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,18S metabarcoding data of global soil samples,S165,Illumina,soil,ERP021922,S165,22.2,-102.6,shrubland: montane shrubland biome,-0.126374899,2.764675413,0.508543531,7.177,5108.532,1.06221E+11,0.628821365,7.23721993,0.99723386,4831,0.85316316,1722498.468,5141549,2.984936762,1.722498468,ERR1877650,64.7,7.700078046,0.999206764,5118,0.901593689,Tropical_montane_forests,Forest
ERR1877652,S238,ERR1873323,161777.0839,30000,5.392569465,AMPLICON,492,50995308,PRJEB19856,SAMEA103892571,33321926,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2015,public,"fastq,sra,run.zq","ncbi,s3,ena,gs","ncbi.public,gs.US,ena,s3.us-east-1",2018/5/31,2018/5/31,2018/11/16,2017/3/6,Boreal_forests,soil,Finland,Europe,Finland,68.96782,20.94322,EMBL,European Molecular Biology Laboratory,2018-05-31T17:02:46Z,2017-03-06T16:33:20Z,public,Illumina MiSeq,metagenome,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,18S metabarcoding data of global soil samples,S238,Illumina,soil,ERP021922,S238,68.97,20.94,forest: subpolar coniferous forest biome,0.165610072,4.566934248,29.97068387,6.0100002,4938.246467,1.0169E+11,0.628580833,6.091168929,0.993908716,2107,0.795916984,2988085.577,16282724,5.449216088,2.988085577,ERR1877652,61.87,7.798070265,0.99925841,5687,0.901934542,Boreal_forests,Forest
ERR1877653,S032,ERR1873256,161864.0575,30000,5.395468584,AMPLICON,489,43187502,PRJEB19856,SAMEA103892590,28403941,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2015,public,"run.zq,fastq,sra","ncbi,ena,gs,s3","s3.us-east-1,ncbi.public,gs.US,ena",2018/5/31,2018/5/31,2018/11/16,2017/3/6,Temperate_deciduous_forests,soil,Russia,Europe,Russia,43.10035,131.55774,EMBL,European Molecular Biology Laboratory,2018-05-31T17:02:46Z,2017-03-06T16:33:20Z,public,Illumina MiSeq,metagenome,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,18S metabarcoding data of global soil samples,S032,Illumina,soil,ERP021922,S032,43.1,131.56,forest: temperate broadleaf forest biome,1.85746532,9.085645756,11.25966158,5.9419999,4887.830567,99989700776,0.617738751,6.567797266,0.991001456,3524,0.804152591,3861925.609,15490687,4.011130345,3.861925609,ERR1877653,60.43,7.741669271,0.999150616,5731,0.894613656,Temperate_deciduous_forests,Forest
ERR1877656,S049,ERR1873259,153772.5604,30000,5.125752012,AMPLICON,488,55023952,PRJEB19856,SAMEA103892597,38221673,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2015,public,"run.zq,fastq,sra","gs,ncbi,ena,s3","ena,s3.us-east-1,gs.US,ncbi.public",2018/5/31,2018/5/31,2018/11/16,2017/3/6,Moist_tropical_forests,soil,USA,North America,USA,18.32096,-65.81974,EMBL,European Molecular Biology Laboratory,2018-05-31T17:02:46Z,2017-03-06T16:33:21Z,public,Illumina MiSeq,metagenome,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,18S metabarcoding data of global soil samples,S049,Illumina,soil,ERP021922,S049,18.32,-65.82,forest: tropical broadleaf forest biome,0.613305282,7.643845806,3.663376412,NA,4652.3326,95358766839,0.620128628,6.760902037,0.995726502,3551,0.827023221,3473487.754,11932693,3.435363487,3.473487754,ERR1877656,59.84,7.692792183,0.999059462,5406,0.89500352,Moist_tropical_forests,Forest
ERR1877657,S190,ERR1873307,154500.3544,30000,5.150011814,AMPLICON,491,76400091,PRJEB19856,SAMEA103892550,48971743,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2015,public,"run.zq,sra,fastq","ncbi,gs,ena,s3","gs.US,s3.us-east-1,ena,ncbi.public",2018/5/31,2018/5/31,2018/11/16,2017/3/6,Savannas,soil,Democratic Republic of the Congo,Africa,Democratic Republic of the Congo,-11.4795,27.6624,EMBL,European Molecular Biology Laboratory,2018-05-31T17:02:46Z,2017-03-06T16:33:19Z,public,Illumina MiSeq,metagenome,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,18S metabarcoding data of global soil samples,S190,Illumina,soil,ERP021922,S190,-11.48,27.66,woodland: tropical woodland biome,3.156301372,2.315326999,0.182666937,5.2020001,4846.0131,98569051556,0.637985925,7.232984018,0.997781058,4448,0.861048017,1842394.65,3348394,1.817414092,1.84239465,ERR1877657,67.45,7.627967494,0.99914844,4640,0.903523236,Savannas,Grassland
ERR1877659,G3308,ERR1873244,150280.5801,30000,5.00935267,AMPLICON,489,112398117,PRJEB19856,SAMEA103892501,75911865,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2015,public,"run.zq,fastq,sra","ena,gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US,ena",2018/5/31,2018/5/31,2018/11/16,2017/3/6,Temperate_deciduous_forests,soil,Estonia,Europe,Estonia,58.30122,21.936,EMBL,European Molecular Biology Laboratory,2018-05-31T17:02:46Z,2017-03-06T16:33:18Z,public,Illumina MiSeq,metagenome,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,18S metabarcoding data of global soil samples,G3308,Illumina,soil,ERP021922,G3308,58.3,21.94,shrubland: temperate shrubland biome,5.113266466,14.90926138,1.123539065,NA,4607.655867,94839715619,0.631084306,7.325533218,0.998071167,4544,0.869854355,2890167.555,11476730,3.970956626,2.890167555,ERR1877659,67.92,7.721355951,0.999235399,5101,0.904437438,Temperate_deciduous_forests,Forest
ERR1877662,S249,ERR1873326,168075.8747,30000,5.602529157,AMPLICON,492,59723880,PRJEB19856,SAMEA103892576,38318223,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2015,public,"sra,fastq,run.zq","s3,gs,ncbi,ena","ena,ncbi.public,gs.US,s3.us-east-1",2018/5/31,2018/5/31,2018/11/16,2017/3/6,Temperate_coniferous_forests,soil,Estonia,Europe,Estonia,57.87791,27.68945,EMBL,European Molecular Biology Laboratory,2018-05-31T17:02:46Z,2017-03-06T16:33:20Z,public,Illumina MiSeq,metagenome,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,18S metabarcoding data of global soil samples,S249,Illumina,soil,ERP021922,S249,57.88,27.69,forest: temperate coniferous forest biome,-3.034504186,9.658730919,11.07440691,5.401,5066.719033,1.05218E+11,0.626016931,5.881422776,0.992995138,1588,0.797997113,4205199.304,27373719,6.509493849,4.205199304,ERR1877662,60.48,7.838513563,0.999326256,5681,0.906722968,Temperate_coniferous_forests,Forest
ERR1877663,S181,ERR1873303,171159.0981,30000,5.705303269,AMPLICON,492,47922768,PRJEB19856,SAMEA103892546,30959660,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2015,public,"sra,run.zq,fastq","gs,ena,s3,ncbi","gs.US,ena,s3.us-east-1,ncbi.public",2018/5/31,2018/5/31,2018/11/16,2017/3/6,Southern_temperate_forests,soil,Australia,Oceania,Australia,-42.833,146.367,EMBL,European Molecular Biology Laboratory,2018-05-31T17:02:46Z,2017-03-06T16:33:19Z,public,Illumina MiSeq,metagenome,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,18S metabarcoding data of global soil samples,S181,Illumina,soil,ERP021922,S181,-42.83,146.37,forest: temperate broadleaf forest biome,0.395935493,8.805750246,13.87259858,5.204,5145.343033,1.08601E+11,0.634505419,6.999342847,0.995976409,3979,0.844435241,2382191.401,10098537,4.239179519,2.382191401,ERR1877663,62.78,7.705382714,0.999156066,5372,0.897126858,Southern_temperate_forests,Forest
ERR1877665,S148,ERR1873292,168547.0443,30000,5.618234811,AMPLICON,492,35190792,PRJEB19856,SAMEA103892534,23180936,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2015,public,"fastq,sra,run.zq","ena,gs,s3,ncbi","gs.US,ena,s3.us-east-1,ncbi.public",2018/5/31,2018/5/31,2018/11/16,2017/3/6,Moist_tropical_forests,soil,Panama,North America,Panama,8.7574,-82.26828,EMBL,European Molecular Biology Laboratory,2018-05-31T17:02:46Z,2017-03-06T16:33:19Z,public,Illumina MiSeq,metagenome,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,18S metabarcoding data of global soil samples,S148,Illumina,soil,ERP021922,S148,8.76,-82.27,forest: tropical broadleaf forest biome,1.396234671,4.831609026,0.919963201,5.4899998,5068.716667,1.05446E+11,0.625618806,6.712582892,0.994217889,3458,0.823786912,5582255.124,41044473,7.352668785,5.582255124,ERR1877665,59.82,7.653383669,0.998844906,6044,0.879010076,Moist_tropical_forests,Forest
ERR1877672,G2669,ERR1873212,167635.9681,30000,5.587865603,AMPLICON,489,47788014,PRJEB19856,SAMEA103892461,31530133,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2014/2015,public,"sra,run.zq,fastq","ncbi,gs,ena,s3","ncbi.public,s3.us-east-1,ena,gs.US",2018/5/31,2018/5/31,2018/11/16,2017/3/6,Moist_tropical_forests,soil,Papua New Guinea,Oceania,Papua New Guinea,-7.30364,147.13239,EMBL,European Molecular Biology Laboratory,2018-05-31T17:02:46Z,2017-03-06T16:33:17Z,public,Illumina MiSeq,metagenome,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,18S metabarcoding data of global soil samples,G2669,Illumina,soil,ERP021922,G2669,-7.3,147.13,forest: tropical broadleaf forest biome,-0.764852032,5.727869344,1.540832049,NA,5079.7576,1.06437E+11,0.634931149,7.008019741,0.996761004,3949,0.846254745,4388030.636,41753716,9.515365653,4.388030636,ERR1877672,61,7.757665372,0.999142224,6884,0.877866328,Moist_tropical_forests,Forest
